machine_id,module_id,validation_mae_p50,validation_mae_p99,test_mae_p50,test_mae_p95,test_exceedance_rate
MX007,1,0.125671848654747,0.1959698647260666,0.13055802881717682,0.1506308764219284,0.0
MX007,2,0.12209638208150864,0.16468492150306702,0.12465210258960724,0.15025658905506134,0.0038095238095238095
MX007,3,0.1603091061115265,0.23235125839710236,0.16712014377117157,0.19126689434051514,0.0
MX007,4,0.08673609793186188,0.1378592997789383,0.08784080296754837,0.10439850389957428,0.0019047619047619048
MX007,5,0.06944943964481354,0.1323254257440567,0.0781487226486206,0.09526646137237549,0.011111111111111112
MX007,6,0.0838455855846405,0.17329742014408112,0.08406289666891098,0.09788865596055984,0.011111111111111112
MX007,8,0.07782886922359467,0.20272371172904968,0.07266417145729065,0.08676910400390625,0.008888888888888889
MX017,1,0.15018749237060547,0.494191974401474,0.15779970586299896,0.19094601273536682,0.0026666666666666666
MX017,2,0.11866352707147598,0.7436696887016296,0.13880956172943115,0.16397127509117126,0.010666666666666666
MX017,3,0.13631457090377808,0.9738411903381348,0.16160953044891357,0.19793131947517395,0.0
MX017,4,0.17600306868553162,0.8267020583152771,0.17940694093704224,0.20048555731773376,0.004
MX017,5,0.1291663646697998,0.208446204662323,0.12799398601055145,0.18152154982089996,0.021333333333333333
MX017,6,0.12022250890731812,0.18282251060009003,0.13586881756782532,0.2088511437177658,0.13066666666666665
MX017,8,0.13885068893432617,0.22890576720237732,0.14561420679092407,0.20807746052742004,0.02266666666666667
MX057,1,0.1021682620048523,0.13914303481578827,0.11013904213905334,0.2102552056312561,0.176
MX057,2,0.10727441310882568,0.2749229967594147,0.13183000683784485,1.2718384265899658,0.13866666666666666
MX057,3,0.09792709350585938,0.1764460653066635,0.13971564173698425,2.3264713287353516,0.18133333333333335
MX057,4,0.08946117758750916,0.14078564941883087,0.09372135996818542,0.2839001715183258,0.15466666666666667
MX057,5,0.10577821731567383,0.19850441813468933,0.10808497667312622,0.27104413509368896,0.09866666666666667
MX057,6,0.09277265518903732,0.2393943816423416,0.09573512524366379,0.24478518962860107,0.058666666666666666
MX057,8,0.06937684863805771,0.15370877087116241,0.08090014010667801,0.2643527388572693,0.10666666666666667
MX070,1,0.07264399528503418,0.10726820677518845,0.07104980945587158,0.09523803740739822,0.005333333333333333
MX070,2,0.103533074259758,0.14708156883716583,0.1034400463104248,0.12151248008012772,0.004
MX070,3,0.09699086844921112,0.1363571435213089,0.09568455815315247,0.1148553267121315,0.004
MX070,4,0.08376044034957886,0.11525148153305054,0.08174333721399307,0.10400483012199402,0.008
MX070,5,0.11125512421131134,0.14221449196338654,0.10984496772289276,0.12995629012584686,0.0026666666666666666
MX070,6,0.11049921810626984,0.14031808078289032,0.11391189694404602,0.13138437271118164,0.014666666666666666
MX070,8,0.16026002168655396,0.33106905221939087,0.22128993272781372,0.3120060861110687,0.009333333333333334
MX12,1,0.1369500756263733,0.28873535990715027,0.13167288899421692,0.1557566076517105,0.0
MX12,2,0.14352989196777344,0.5201102495193481,0.12224192917346954,0.15082575380802155,0.0
MX12,3,0.13214242458343506,0.3566456735134125,0.14211523532867432,0.17482072114944458,0.0
MX12,4,0.15930446982383728,0.35846400260925293,0.15418285131454468,0.1785195916891098,0.0
MX12,5,0.20971614122390747,0.46699434518814087,0.21930983662605286,0.26394110918045044,0.0
MX12,6,0.12956644594669342,0.3088294565677643,0.1348424255847931,0.16948974132537842,0.0
MX12,8,0.12835006415843964,0.21502217650413513,0.12945902347564697,0.14792393147945404,0.0
MX25,1,0.017144523561000824,0.815722644329071,0.8272051215171814,1.453154444694519,0.5409252669039146
MX25,2,0.021944720298051834,0.8884732127189636,0.8775576949119568,0.933586061000824,0.3763440860215054
MX25,3,0.02453465387225151,0.2017965316772461,0.10567665100097656,0.2449759840965271,0.21554770318021202
MX25,4,0.031116873025894165,0.7549735307693481,0.14886260032653809,0.3124428987503052,0.0
MX25,5,0.25788992643356323,0.4632067382335663,0.11522933095693588,0.3684758245944977,0.0
MX25,6,0.07427404075860977,0.08942735195159912,0.07068011909723282,0.08499975502490997,0.02586206896551724
MX25,8,0.05155070498585701,0.09062985330820084,0.10157538950443268,0.7118207216262817,0.5080645161290323
